DATE (MM/DD),MST,Global CMP22 (vent/cor) [W/m^2],Direct sNIP [W/m^2],Azimuth Angle [degrees],Tower Dry Bulb Temp [deg C],Tower Wet Bulb Temp [deg C],Tower Dew Point Temp [deg C],Total Cloud Cover [%],Peak Wind Speed @ 6ft [m/s],Precipitation (Accumulated) [mm],Moisture,Albedo (CMP11)
05-01,12:20,326.594,5.44508,192.86758,24.31,11.783,1.883,79.0,2.45,0.0,0.0,0.1746
05-01,12:30,741.63,397.096,198.42235,24.89,12.097,2.097,80.0,2.95,0.0,0.0,0.1791
05-01,12:40,509.455,87.7502,203.7517,24.78,11.944,1.844,85.0,2.95,0.0,0.0,0.1805
05-01,12:50,660.672,279.102,208.81572,25.35,12.201,2.001,81.0,1.95,0.0,0.0,0.1739
05-01,13:00,818.861,502.788,213.59127,26.52,12.918,2.738,80.0,2.2,0.0,0.0,0.1778
05-01,13:10,707.667,369.373,218.06988,26.4,12.748,2.388,84.0,3.2,0.0,0.0,0.1793
05-01,13:20,746.764,388.843,222.25472,25.73,12.314,1.914,91.0,2.7,0.0,0.0,0.1838
05-01,13:40,583.215,273.952,229.79461,26.0,12.095,0.895,84.0,4.2,0.0,0.0,0.1786
05-01,13:50,275.756,2.60634,233.18649,25.3,12.111,1.721,91.0,2.2,0.0,0.0,0.1779
05-01,14:00,302.821,6.18694,236.35407,25.44,12.283,2.083,97.0,1.45,0.0,0.0,0.1782
05-01,14:10,306.058,3.96145,239.31849,25.62,12.201,1.611,99.0,3.2,0.0,0.0,0.1761
05-01,14:20,246.607,1.58754,242.10007,25.41,12.387,2.487,98.0,2.45,0.0,0.0,0.1776
05-01,14:30,330.073,16.2314,244.71788,25.62,11.586,-0.214,94.0,1.45,0.0,0.0,0.1737
05-01,14:40,391.494,90.406,247.18953,26.14,11.948,0.248,92.0,2.2,0.0,0.0,0.1799
05-01,14:50,426.329,217.943,249.53108,27.01,12.404,0.704,87.0,2.95,0.0,0.0,0.1781
05-01,15:00,893.382,920.396,251.75708,26.32,11.914,-0.056,84.0,1.7,0.0,0.0,0.1867
05-01,15:10,602.013,589.286,253.88064,27.06,11.978,-0.702,68.0,1.45,0.0,0.0,0.1871
05-01,15:20,385.545,225.349,255.91355,27.45,12.334,0.134,66.0,0.0,0.0,0.0,0.1577
05-01,15:30,695.822,883.402,257.8664,27.13,12.652,1.352,54.0,4.45,0.0,0.0,0.1916
05-01,15:40,417.719,418.656,259.74873,26.51,12.515,1.715,42.0,2.2,0.0,0.0,0.1835
05-01,15:50,134.036,4.29774,261.56911,26.37,12.034,0.254,53.0,2.7,0.0,0.0,0.1588
05-01,16:00,675.638,869.366,263.3353,26.0,11.992,0.592,76.0,1.2,0.0,0.0,0.1943
05-01,16:10,545.074,859.82,265.05431,27.7,12.649,0.849,41.0,1.95,0.0,0.0,0.1961
05-01,16:20,460.154,767.66,266.73251,27.14,12.299,0.199,26.0,1.7,0.0,0.0,0.2085
05-01,16:30,462.705,826.506,268.37574,26.94,12.433,0.853,25.0,3.45,0.0,0.0,0.1995
05-01,16:40,134.406,127.801,269.98934,26.45,12.442,1.462,16.0,3.2,0.0,0.0,0.1568
06-01,07:40,539.72,862.002,87.48602,25.84,15.498,9.508,14.0,2.45,0.0,0.0,0.1983
06-01,07:50,558.702,841.304,89.04412,26.23,16.946,12.146,19.0,2.7,0.0,0.0,0.1955
06-01,08:00,590.314,843.133,90.63766,25.63,15.789,10.289,22.0,3.2,0.0,0.0,0.1928
06-01,08:10,622.273,849.585,92.27305,25.56,15.795,10.395,21.0,2.7,0.0,0.0,0.1906
06-01,08:20,653.429,851.303,93.95749,25.86,15.893,10.303,24.0,3.2,0.0,0.0,0.1891
06-01,08:30,670.964,840.413,95.69916,25.34,15.672,10.192,25.0,3.45,0.0,0.0,0.1857
06-01,08:40,700.776,854.277,97.5073,25.74,15.26,9.07,25.0,3.95,0.0,0.0,0.1822
06-01,08:50,733.983,875.744,99.39253,25.99,15.37,9.17,30.0,2.7,0.0,0.0,0.1792
06-01,09:00,765.403,895.002,101.36705,26.39,14.972,7.972,23.0,2.7,0.0,0.0,0.1758
06-01,09:10,801.285,919.121,103.44494,27.01,15.146,7.886,23.0,2.7,0.0,0.0,0.1734
06-01,09:20,822.247,923.329,105.64253,27.43,15.176,7.676,19.0,3.2,0.0,0.0,0.1706
06-01,09:30,844.773,927.606,107.97883,27.5,15.154,7.654,16.0,3.45,0.0,0.0,0.1681
06-01,09:40,857.708,917.347,110.476,27.69,14.774,6.574,17.0,1.45,0.0,0.0,0.1662
06-01,09:50,882.337,917.72,113.15988,27.85,15.215,7.415,21.0,2.95,0.0,0.0,0.164
06-01,10:00,903.74,929.486,116.06055,27.79,15.004,6.944,22.0,3.7,0.0,0.0,0.1614
06-01,10:10,912.993,904.53,119.21283,28.05,15.198,7.198,20.0,2.95,0.0,0.0,0.16
06-01,10:20,928.881,907.846,122.65661,27.95,14.789,6.299,20.0,3.45,0.0,0.0,0.1589
06-01,10:30,966.692,937.552,126.43682,28.98,15.386,6.906,20.0,3.45,0.0,0.0,0.1575
06-01,10:40,980.544,909.696,130.60254,28.66,15.286,6.926,27.0,2.7,0.0,0.0,0.157
06-01,10:50,953.585,849.665,135.20482,28.98,14.992,5.992,27.0,3.2,0.0,0.0,0.1548
06-01,11:00,1025.66,930.488,140.29232,29.28,15.258,6.458,25.0,3.7,0.0,0.0,0.1557
06-01,11:10,1019.77,922.03,145.90386,29.99,15.084,5.384,30.0,3.2,0.0,0.0,0.1555
06-01,11:20,1024.27,938.803,152.05748,29.93,15.049,5.349,32.0,1.95,0.0,0.0,0.1531
06-01,11:30,1034.67,966.726,158.73663,30.54,15.436,5.756,27.0,3.45,0.0,0.0,0.1537
06-01,11:40,1033.36,960.559,165.87664,30.84,15.145,4.745,27.0,2.7,0.0,0.0,0.1532
06-01,11:50,1055.43,971.007,173.35756,30.35,14.4,3.1,33.0,3.95,0.0,0.0,0.1538
06-01,12:00,1096.08,970.95,181.00993,30.48,14.513,3.253,41.0,5.45,0.0,0.0,0.1551
06-01,12:10,1141.66,970.616,188.6365,30.26,14.6,3.8,52.0,4.2,0.0,0.0,0.1566
06-01,12:20,863.784,595.513,196.04435,30.46,14.087,2.087,72.0,3.45,0.0,0.0,0.159
06-01,12:30,288.384,7.0905,203.07527,29.18,13.624,1.924,85.0,3.95,0.0,0.0,0.1381
06-01,12:40,366.842,42.5085,209.62357,28.62,13.24,1.36,82.0,1.7,0.0,0.0,0.1583
06-01,12:50,244.33,1.02702,215.63801,28.82,14.221,4.051,86.0,1.95,0.0,0.0,0.1531
06-01,13:00,168.132,1.15048,221.1123,28.71,13.661,2.661,89.0,0.95,0.0,0.0,0.1532
06-01,13:10,147.355,-1.85657,226.07106,27.28,14.113,5.313,95.0,4.7,0.0,0.0,0.143
06-01,13:20,182.41,-1.2838,230.55653,26.22,13.381,4.281,96.0,4.2,0.0,0.35,0.1711
06-01,13:30,243.748,2.10345,234.61857,27.36,13.167,2.567,98.0,4.95,0.0,0.0,0.1835
06-01,13:40,277.015,1.14554,238.30802,26.74,13.247,3.367,97.0,6.95,0.0,0.0,0.1786
06-01,13:50,289.888,0.869029,241.67306,26.13,13.296,4.106,97.0,7.95,0.0,0.0,0.1819
06-01,14:00,300.365,2.48859,244.75735,26.86,13.593,4.203,93.0,3.95,0.0,0.0,0.1818
06-01,14:10,336.93,11.3863,247.59947,27.32,13.61,3.81,89.0,4.7,0.0,0.0,0.1801
06-01,14:20,346.562,22.417,250.23298,28.07,13.446,2.746,90.0,3.7,0.0,0.0,0.1804
06-01,14:30,269.961,1.69362,252.68683,27.77,13.618,3.418,88.0,5.2,0.0,0.0,0.1739
06-01,14:40,318.709,1.98495,254.98584,27.7,13.7,3.8,90.0,3.7,0.0,0.0,0.1793
06-01,14:50,440.983,62.2099,257.15132,28.11,13.944,3.974,83.0,3.2,0.0,0.0,0.1849
06-01,15:00,365.027,12.2553,259.20155,28.61,14.484,4.984,84.0,6.45,0.0,0.0,0.1801
06-01,15:10,553.291,224.585,261.15226,28.42,14.594,5.494,85.0,5.7,0.0,0.0,0.1713
06-01,15:20,315.39,18.8175,263.01699,27.61,14.169,5.169,81.0,4.95,0.0,0.0,0.176
06-01,15:30,266.388,1.6788,264.80753,26.75,14.191,5.991,78.0,4.95,0.0,0.0,0.1769
06-01,15:40,349.963,94.0524,266.5341,26.46,14.068,5.788,78.0,4.95,0.0,0.0,0.1885
06-01,15:50,333.63,123.753,268.20567,26.68,14.46,6.56,75.0,4.2,0.0,0.0,0.1934
06-01,16:00,456.321,342.424,269.83013,26.87,14.469,6.469,73.0,5.2,0.0,0.0,0.199
06-01,16:10,595.386,711.9,271.41449,28.52,15.076,6.676,66.0,4.2,0.0,0.0,0.2109
06-01,16:20,314.291,181.03,272.96497,28.71,14.535,5.035,63.0,4.7,0.0,0.0,0.1619
06-01,16:30,287.265,153.379,274.48716,28.2,14.096,4.306,63.0,3.2,0.0,0.0,0.1786
06-01,16:40,403.539,364.059,275.98613,28.67,14.16,4.16,75.0,3.2,0.0,0.0,0.2083
06-01,16:50,369.029,381.266,277.46646,28.8,14.057,3.657,71.0,3.45,0.0,0.0,0.2082
07-01,07:40,537.292,886.399,85.69625,19.36,10.921,4.521,10.0,0.95,0.0,0.0,0.2105
07-01,07:50,573.241,896.38,87.2168,19.05,11.267,5.567,11.0,3.7,0.0,0.0,0.2067
07-01,08:00,605.716,907.774,88.76796,18.62,10.75,4.85,15.0,4.2,0.0,0.0,0.2065
07-01,08:10,637.213,921.054,90.35563,19.14,10.961,4.771,20.0,3.2,0.0,0.0,0.2049
07-01,08:20,667.807,931.047,91.98645,19.79,11.182,4.692,12.0,3.95,0.0,0.0,0.2
07-01,08:30,696.169,935.13,93.66789,20.68,11.411,4.511,10.0,2.7,0.0,0.0,0.197
07-01,08:40,724.28,941.709,95.40847,21.25,11.149,3.249,11.0,2.95,0.0,0.0,0.1929
07-01,08:50,753.762,949.948,97.21791,22.12,11.62,3.62,16.0,3.2,0.0,0.0,0.1889
07-01,09:00,784.495,957.586,99.10738,22.32,11.66,3.48,10.0,3.2,0.0,0.0,0.1879
07-01,09:10,810.526,964.741,101.08983,23.06,11.754,3.154,11.0,3.7,0.0,0.0,0.1858
07-01,09:20,836.548,969.115,103.18029,22.91,11.663,2.963,13.0,5.95,0.0,0.0,0.1823
07-01,09:30,854.963,965.939,105.39631,23.3,11.377,1.687,16.0,3.7,0.0,0.0,0.1823
07-01,09:40,877.91,971.531,107.75847,23.84,12.134,3.234,25.0,3.95,0.0,0.0,0.1791
07-01,09:50,899.486,976.521,110.29092,24.59,11.252,-0.148,21.0,3.7,0.0,0.0,0.1775
07-01,10:00,916.205,971.616,113.02207,24.53,11.54,0.77,12.0,4.95,0.0,0.0,0.1723
07-01,10:10,933.803,972.557,115.98526,24.51,11.724,1.424,11.0,4.2,0.0,0.0,0.1728
07-01,10:20,955.137,979.847,119.21939,24.91,11.655,0.675,11.0,4.95,0.0,0.0,0.1743
07-01,10:30,961.983,970.471,122.76944,25.1,11.219,-0.681,11.0,5.7,0.0,0.0,0.1711
07-01,10:40,975.148,974.091,126.68641,25.78,11.681,-0.119,10.0,3.95,0.0,0.0,0.1708
07-01,10:50,989.227,979.83,131.02634,26.04,11.382,-1.418,10.0,1.95,0.0,0.0,0.1673
07-01,11:00,1003.32,984.062,135.84756,26.15,11.445,-1.355,9.0,4.45,0.0,0.0,0.1659
07-01,11:10,1010.96,984.672,141.20507,25.86,11.306,-1.464,19.0,4.45,0.0,0.0,0.1639
07-01,11:20,1017.29,983.201,147.14093,26.37,11.331,-2.039,15.0,3.2,0.0,0.0,0.165
07-01,11:30,1024.98,984.859,153.66999,26.67,11.701,-1.099,16.0,5.7,0.0,0.0,0.1659
07-01,11:40,1024.4,980.121,160.76234,26.7,11.853,-0.647,22.0,3.45,0.0,0.0,0.166
07-01,11:50,1024.15,972.216,168.32757,26.48,11.963,-0.037,31.0,7.2,0.0,0.0,0.1628
07-01,12:00,1027.42,975.632,176.20938,26.45,12.019,0.019,25.0,4.7,0.0,0.0,0.1654
07-01,12:10,1027.58,977.454,184.19908,26.51,12.113,0.413,26.0,5.2,0.0,0.0,0.1669
07-01,12:20,1025.97,977.883,192.06857,27.06,12.067,-0.333,24.0,4.45,0.0,0.0,0.1654
07-01,12:30,1024.26,980.29,199.61133,26.84,12.409,0.809,25.0,6.7,0.0,0.0,0.1643
07-01,12:40,1014.25,973.705,206.67453,26.65,12.127,0.227,23.0,5.7,0.0,0.0,0.1662
07-01,12:50,1008.0,973.188,213.17132,26.94,12.217,0.117,17.0,7.95,0.0,0.0,0.1664
07-01,13:00,999.41,969.023,219.07473,26.72,11.916,-0.574,18.0,3.7,0.0,0.0,0.1668
07-01,13:10,987.045,964.3,224.40153,26.98,12.202,0.102,14.0,4.45,0.0,0.0,0.1682
07-01,13:20,979.518,966.459,229.1948,26.87,11.988,-0.512,16.0,6.7,0.0,0.0,0.1701
07-01,13:30,965.195,963.147,233.50996,27.2,12.166,-0.234,17.0,5.45,0.0,0.0,0.1725
07-01,13:40,951.933,959.719,237.40531,27.49,12.48,0.28,17.0,5.2,0.0,0.0,0.1739
07-01,13:50,934.203,955.034,240.93667,27.69,12.71,0.81,14.0,4.95,0.0,0.0,0.177
07-01,14:00,918.294,951.867,244.15472,26.9,12.172,0.172,17.0,4.45,0.0,0.0,0.1774
07-01,14:10,900.418,948.729,247.1041,26.96,12.018,-0.382,8.0,4.7,0.0,0.0,0.1793
07-01,14:20,881.971,949.542,249.8234,27.93,12.454,-0.246,14.0,4.7,0.0,0.0,0.1818
07-01,14:30,857.732,938.254,252.34567,27.62,12.42,-0.06,9.0,7.2,0.0,0.0,0.1796
07-01,14:40,836.945,936.635,254.69906,27.76,12.581,0.301,12.0,3.7,0.0,0.0,0.1853
07-01,14:50,811.387,928.972,256.90751,27.59,12.258,-0.342,15.0,5.45,0.0,0.0,0.1865
07-01,15:00,783.712,917.693,258.99143,27.93,12.429,-0.361,21.0,4.95,0.0,0.0,0.1902
07-01,15:10,758.871,915.227,260.96821,28.22,12.813,0.513,21.0,5.7,0.0,0.0,0.1912
07-01,15:20,730.408,905.956,262.85277,28.25,12.68,0.08,9.0,4.7,0.0,0.0,0.1923
07-01,15:30,708.831,905.528,264.65792,28.37,12.527,-0.553,12.0,3.95,0.0,0.0,0.1949
07-01,15:40,676.726,892.26,266.39478,28.85,12.894,0.034,16.0,2.7,0.0,0.0,0.1993
07-01,15:50,647.152,881.036,268.07299,28.74,12.87,0.07,15.0,3.7,0.0,0.0,0.2004
07-01,16:00,615.781,868.681,269.701,28.58,12.835,0.145,19.0,4.45,0.0,0.0,0.2032
07-01,16:10,584.995,851.652,271.28623,28.89,13.097,0.797,20.0,5.45,0.0,0.0,0.2072
07-01,16:20,552.371,834.562,272.83527,28.72,12.891,0.291,16.0,3.2,0.0,0.0,0.2109
07-01,16:30,520.177,827.647,274.35401,27.89,12.395,-0.305,15.0,4.2,0.0,0.0,0.213
07-01,16:40,488.424,818.811,275.84771,28.07,12.608,0.208,14.0,5.45,0.0,0.0,0.2147
07-01,16:50,453.022,795.38,277.32116,29.04,13.069,0.389,12.0,3.95,0.0,0.0,0.2191
08-01,07:40,461.61,823.759,90.34706,22.64,12.653,5.653,12.0,0.95,0.254,0.0,0.2052
08-01,07:50,495.043,834.571,91.96968,23.86,13.871,7.471,15.0,1.7,0.254,0.0,0.2028
08-01,08:00,527.166,846.402,93.62828,23.73,13.565,6.865,13.0,0.0,0.254,0.0,0.2001
08-01,08:10,559.226,860.189,95.32896,23.69,13.395,6.495,11.0,0.95,0.254,0.0,0.1936
08-01,08:20,589.023,866.91,97.07848,24.25,13.726,6.766,15.0,1.95,0.254,0.0,0.1901
08-01,08:30,622.007,873.734,98.88433,24.39,14.11,7.52,15.0,2.2,0.254,0.0,0.1899
08-01,08:40,652.241,879.348,100.75488,24.72,14.746,8.666,10.0,2.7,0.254,0.0,0.1877
08-01,08:50,681.407,886.789,102.69948,24.87,15.017,9.127,8.0,2.7,0.254,0.0,0.1883
08-01,09:00,708.863,893.141,104.72866,24.92,14.673,8.473,14.0,3.2,0.254,0.0,0.1857
08-01,09:10,733.75,897.777,106.85426,25.15,15.007,8.917,14.0,2.2,0.254,0.0,0.1845
08-01,09:20,759.295,904.762,109.08964,25.85,15.541,9.641,12.0,3.2,0.254,0.0,0.1809
08-01,09:30,784.64,908.231,111.44988,26.09,15.402,9.202,14.0,4.2,0.254,0.0,0.1797
08-01,09:40,808.339,912.746,113.95195,26.38,15.35,8.76,10.0,2.45,0.254,0.0,0.1777
08-01,09:50,829.275,917.962,116.61493,26.99,15.543,8.843,9.0,2.45,0.254,0.0,0.1767
08-01,10:00,849.732,922.008,119.4601,27.39,15.481,8.311,12.0,2.2,0.254,0.0,0.1735
08-01,10:10,870.119,927.155,122.51098,26.89,14.859,7.279,15.0,2.7,0.254,0.0,0.1721
08-01,10:20,886.193,929.746,125.79316,27.69,15.253,7.563,6.0,3.95,0.254,0.0,0.1708
08-01,10:30,903.007,931.172,129.3338,27.49,14.715,6.515,5.0,2.45,0.254,0.0,0.1683
08-01,10:40,918.832,934.264,133.16075,28.36,14.654,5.554,6.0,1.95,0.254,0.0,0.1679
08-01,10:50,933.959,936.204,137.30088,29.04,14.687,5.087,10.0,2.2,0.254,0.0,0.1658
08-01,11:00,944.24,937.883,141.77764,28.5,14.369,4.679,7.0,1.45,0.254,0.0,0.1658
08-01,11:10,951.721,934.123,146.60746,29.3,14.589,4.529,5.0,4.2,0.254,0.0,0.1653
08-01,11:20,964.57,936.982,151.79527,29.41,14.202,3.342,6.0,2.7,0.254,0.0,0.1666
08-01,11:30,966.284,937.453,157.32927,29.38,14.594,4.594,6.0,3.45,0.254,0.0,0.1648
08-01,11:40,973.9,931.132,163.1762,29.58,14.401,3.901,4.0,4.45,0.254,0.0,0.1658
08-01,11:50,980.065,931.293,169.27839,28.94,14.029,3.429,7.0,3.95,0.254,0.0,0.1653
08-01,12:00,981.091,926.646,175.55453,29.57,14.556,4.196,11.0,4.7,0.254,0.0,0.1658
08-01,12:10,996.29,923.001,181.90513,29.77,14.132,2.932,15.0,6.2,0.254,0.0,0.1669
08-01,12:20,1128.52,830.153,188.22241,29.76,14.409,3.709,59.0,3.45,0.254,0.0,0.1669
08-01,12:30,289.707,-0.079002,194.40234,28.39,13.78,3.18,77.0,1.7,0.254,0.0,0.1569
08-01,12:40,418.886,5.2438,200.35569,28.38,14.017,3.847,93.0,2.95,0.254,0.0,0.1716
08-01,12:50,325.333,1.21959,206.01534,28.57,13.761,3.061,95.0,3.45,0.254,0.0,0.1742
08-01,13:00,294.533,1.17516,211.33882,27.99,13.485,2.695,97.0,3.95,0.254,0.0,0.1796
08-01,13:10,324.579,3.27369,216.30654,28.11,13.602,2.922,96.0,2.7,0.254,0.0,0.1798
08-01,13:20,333.695,6.59181,220.91762,28.89,14.335,4.335,98.0,3.95,0.254,0.0,0.1776
08-01,13:30,129.85,0.251821,225.18464,27.4,13.493,3.493,93.0,4.2,0.254,0.0,0.1522
08-01,13:40,272.379,3.44648,229.12882,27.26,13.672,4.072,86.0,4.45,0.254,0.0,0.1783
08-01,13:50,922.732,682.194,232.77608,28.66,14.433,4.733,66.0,3.95,0.254,0.0,0.1833
08-01,14:00,999.497,886.171,236.1541,29.45,14.545,4.275,53.0,3.7,0.254,0.0,0.1835
08-01,14:10,795.606,350.965,239.29046,29.63,14.4,3.7,83.0,3.2,0.254,0.0,0.1693
08-01,14:20,444.611,31.1222,242.21143,29.36,14.345,3.845,95.0,3.95,0.254,0.0,0.1629
08-01,14:30,305.352,9.62355,244.94137,28.5,14.318,4.548,99.0,3.95,0.254,0.0,0.1608
08-01,14:40,181.726,0.567828,247.50242,27.31,13.814,4.314,90.0,2.95,0.254,0.0,0.1614
08-01,14:50,583.839,364.281,249.9145,28.86,14.559,4.879,81.0,3.45,0.254,0.0,0.2038
08-01,15:00,297.941,58.2299,252.19537,29.0,14.34,4.24,56.0,4.45,0.254,0.0,0.1751
08-01,15:10,499.72,194.347,254.36081,28.54,14.216,4.316,86.0,2.95,0.254,0.0,0.1744
08-01,15:20,656.233,462.191,256.42483,28.15,13.726,3.236,96.0,2.7,0.254,0.0,0.1936
08-01,15:30,217.428,0.933221,258.39983,27.69,13.62,3.52,98.0,3.45,0.254,0.0,0.1601
08-01,15:40,73.6985,0.365387,260.29682,27.33,13.666,3.876,97.0,0.7,0.254,0.0,0.1372
08-01,15:50,18.3752,-0.691271,262.12558,26.68,14.439,6.539,96.0,5.45,0.254,0.0,0.0
08-01,16:00,17.1016,-0.972715,263.89485,24.84,14.172,7.302,97.0,5.45,0.254,0.55,0.0187
08-01,16:10,15.2065,-0.96778,265.61244,22.86,14.08,8.68,96.0,3.95,0.254,0.0,0.3592
08-01,16:20,13.0764,0.839401,267.28538,23.56,13.433,6.643,95.0,1.95,0.254,0.0,0.3972
08-01,16:30,34.4323,0.266633,268.92001,23.38,13.181,6.211,94.0,3.95,0.254,0.0,0.227
08-01,16:40,546.567,722.761,270.52209,23.41,13.477,6.887,96.0,2.7,0.254,0.0,0.2362
08-01,16:50,221.376,2.53796,272.09688,24.4,13.387,5.987,89.0,2.45,0.254,0.0,0.1887
09-01,07:40,377.807,688.467,100.08163,14.82,9.549,5.459,25.0,0.7,0.0,0.0,0.2243
09-01,07:50,401.656,714.41,101.85381,15.43,9.643,5.243,23.0,0.0,0.0,0.0,0.2165
09-01,08:00,434.378,738.171,103.67084,15.68,9.857,5.457,21.0,1.45,0.0,0.0,0.2109
09-01,08:10,472.01,774.191,105.53866,16.26,9.708,4.608,23.0,0.0,0.0,0.0,0.2068
09-01,08:20,505.029,794.111,107.46364,16.37,10.216,5.616,19.0,1.95,0.0,0.0,0.2026
09-01,08:30,538.789,816.827,109.45262,16.78,10.086,4.896,18.0,2.45,0.0,0.0,0.2011
09-01,08:40,567.417,821.245,111.51296,16.68,10.609,6.129,19.0,3.7,0.0,0.0,0.1997
09-01,08:50,596.669,833.706,113.65255,16.97,10.728,6.148,21.0,2.7,0.0,0.0,0.2009
09-01,09:00,625.941,845.68,115.87985,17.36,11.071,6.571,20.0,3.45,0.0,0.0,0.1988
09-01,09:10,649.135,867.265,118.20386,17.7,11.389,6.989,21.0,3.7,0.0,0.0,0.1976
09-01,09:20,683.151,878.446,120.63416,18.18,11.654,7.254,18.0,3.2,0.0,0.0,0.1947
09-01,09:30,708.121,886.036,123.18075,18.65,11.814,7.214,18.0,3.7,0.0,0.0,0.1914
09-01,09:40,731.897,892.097,125.85403,19.17,12.113,7.413,20.0,3.7,0.0,0.0,0.1894
09-01,09:50,751.801,893.585,128.66457,18.84,11.947,7.347,20.0,3.95,0.0,0.0,0.1884
09-01,10:00,770.542,899.368,131.62285,18.99,11.838,6.938,17.0,2.95,0.0,0.0,0.1849
09-01,10:10,791.16,907.015,134.73893,19.83,12.4,7.5,16.0,3.2,0.0,0.0,0.1836
09-01,10:20,809.909,915.621,138.02185,19.51,12.18,7.19,14.0,4.45,0.0,0.0,0.1815
09-01,10:30,828.885,926.021,141.47908,20.77,12.786,7.506,8.0,3.95,0.0,0.0,0.1812
09-01,10:40,845.643,933.926,145.11567,20.79,12.898,7.798,16.0,4.7,0.0,0.0,0.1769
09-01,10:50,855.842,933.669,148.93334,21.04,12.868,7.568,15.0,4.7,0.0,0.0,0.1761
09-01,11:00,870.48,940.851,152.92952,21.13,12.754,7.154,9.0,4.45,0.0,0.0,0.178
09-01,11:10,880.254,944.909,157.09637,21.16,12.621,6.831,8.0,3.7,0.0,0.0,0.178
09-01,11:20,887.465,950.216,161.42,21.65,12.893,7.093,11.0,2.2,0.0,0.0,0.179
09-01,11:30,893.415,951.674,165.88004,22.66,13.097,6.797,11.0,4.7,0.0,0.0,0.1768
09-01,11:40,897.314,950.895,170.4497,22.14,12.851,6.571,14.0,4.2,0.0,0.0,0.1777
09-01,11:50,900.019,951.816,175.09651,22.63,13.104,6.734,12.0,3.45,0.0,0.0,0.178
09-01,12:00,902.539,955.571,179.78367,22.36,12.992,6.702,15.0,3.45,0.0,0.0,0.1782
09-01,12:10,902.209,959.486,184.47205,22.73,13.082,6.602,8.0,4.2,0.0,0.0,0.1768
09-01,12:20,898.295,957.541,189.12244,22.93,13.112,6.512,8.0,4.2,0.0,0.0,0.1778
09-01,12:30,893.579,960.378,193.69782,23.02,13.088,6.388,9.0,1.95,0.0,0.0,0.1783
09-01,12:40,892.158,964.792,198.1654,23.06,13.051,6.351,8.0,3.95,0.0,0.0,0.1774
09-01,12:50,884.694,968.318,202.49802,23.29,13.123,6.233,11.0,3.2,0.0,0.0,0.1797
09-01,13:00,875.992,969.112,206.67487,24.64,13.636,6.336,14.0,3.7,0.0,0.0,0.1803
09-01,13:10,865.398,969.845,210.68169,23.97,13.101,5.601,16.0,3.7,0.0,0.0,0.1823
09-01,13:20,850.494,966.434,214.51025,24.18,13.221,5.821,17.0,2.95,0.0,0.0,0.1832
09-01,13:30,833.85,963.75,218.15768,25.05,13.441,5.641,14.0,3.2,0.0,0.0,0.184
09-01,13:40,820.167,961.812,221.62546,24.23,12.99,5.19,12.0,4.45,0.0,0.0,0.1825
09-01,13:50,801.571,955.461,224.91847,24.85,13.289,5.389,16.0,4.45,0.0,0.0,0.1881
09-01,14:00,782.4,951.373,228.04402,24.21,12.97,5.09,14.0,3.95,0.0,0.0,0.1907
09-01,14:10,759.008,944.548,231.01111,24.66,13.12,5.05,11.0,4.2,0.0,0.0,0.1908
09-01,14:20,733.987,930.802,233.82972,24.98,13.048,4.568,9.0,3.2,0.0,0.0,0.1926
09-01,14:30,711.827,926.856,236.51032,25.24,12.973,4.273,8.0,3.95,0.0,0.0,0.1953
09-01,14:40,688.018,923.713,239.06349,25.67,13.102,4.102,12.0,3.95,0.0,0.0,0.1978
09-01,14:50,661.453,913.091,241.49963,25.41,12.869,3.699,12.0,4.95,0.0,0.0,0.1988
09-01,15:00,632.598,903.615,243.8288,26.1,12.997,3.397,13.0,4.45,0.0,0.0,0.202
09-01,15:10,607.492,899.088,246.06057,25.82,12.936,3.466,14.0,2.45,0.0,0.0,0.207
09-01,15:20,577.893,889.573,248.20399,26.16,13.057,3.477,10.0,2.95,0.0,0.0,0.2092
09-01,15:30,544.6,874.296,250.26755,25.53,12.687,3.187,14.0,1.95,0.0,0.0,0.2129
09-01,15:40,515.749,862.732,252.25919,25.06,12.602,3.312,11.0,2.7,0.0,0.0,0.2146
09-01,15:50,483.681,851.358,254.18628,25.22,12.573,3.083,13.0,4.2,0.0,0.0,0.2193
09-01,16:00,450.625,835.709,256.0557,25.68,12.642,2.942,13.0,1.7,0.0,0.0,0.2243
09-01,16:10,414.631,814.694,257.87385,25.25,12.454,2.754,10.0,2.95,0.0,0.0,0.2265
09-01,16:20,380.612,793.59,259.64668,24.71,12.219,2.619,14.0,3.7,0.0,0.0,0.2283
09-01,16:30,345.378,771.759,261.37975,25.12,12.426,2.826,11.0,1.95,0.0,0.0,0.2309
09-01,16:40,311.692,749.726,263.07826,25.32,12.472,2.702,9.0,2.7,0.0,0.0,0.231
09-01,16:50,278.092,723.582,264.74711,25.29,12.344,2.344,8.0,3.7,0.0,0.0,0.2348
10-01,07:40,292.326,769.587,111.08148,9.67,4.087,-2.113,15.0,1.45,0.0,0.0,0.2559
10-01,07:50,325.838,788.971,112.93372,10.73,4.763,-1.737,16.0,1.45,0.0,0.0,0.2499
10-01,08:00,358.342,801.857,114.83343,10.32,4.487,-1.913,15.0,1.95,0.0,0.0,0.2433
10-01,08:10,390.043,815.294,116.78521,10.41,4.464,-2.036,16.0,1.45,0.0,0.0,0.2393
